"FSA","LOCATION","PROVINCE_ABB","PROVINCE","LONGITUDE","LATITUDE","URBAN_RURAL"
"A0A"," St. John's","NL","Newfoundland & Labrador",-53.08230823,47.498596777,"Rural"
"A0B"," St. John's","NL","Newfoundland & Labrador",-53.65636569,47.514706422,"Rural"
"A0C"," Clarenville","NL","Newfoundland & Labrador",-53.50733936,48.465217569,"Rural"
"A0E"," Clarenville","NL","Newfoundland & Labrador",-54.9001798,47.39407238,"Rural"
"A0G"," Gander","NL","Newfoundland & Labrador",-54.30500103,49.252869446,"Rural"
"A0H"," Grand Falls","NL","Newfoundland & Labrador",-55.76190129,48.278642756,"Rural"
"A0J"," Springdale","NL","Newfoundland & Labrador",-55.87120665,49.557565423,"Rural"
"A0K"," Deer Lake","NL","Newfoundland & Labrador",-56.55639503,50.696400643,"Rural"
"A0L"," Corner Brook","NL","Newfoundland & Labrador",-58.1183742,49.022991067,"Rural"
"A0M"," Channel-Port-Aux-Basques","NL","Newfoundland & Labrador",-58.6665252,47.6712749,"Rural"
"A0N"," Stephenville","NL","Newfoundland & Labrador",-58.62781813,48.148133596,"Rural"
"A0P"," Happy Valley-Goose Bay","NL","Newfoundland & Labrador",-60.14706238,54.493168714,"Rural"
"A0R"," Montreal","NL","Newfoundland & Labrador",-65.4376895,53.219898,"Rural"
"A1A","St. John's","NL","Newfoundland & Labrador",-52.71098422,47.596761468,"Urban"
"A1B","St. John's","NL","Newfoundland & Labrador",-52.74693153,47.567802262,"Urban"
"A1C","St. John's","NL","Newfoundland & Labrador",-52.68817336,47.559910775,"Urban"
"A1E","St. John's","NL","Newfoundland & Labrador",-52.74964354,47.538965985,"Urban"
"A1G","St. John's","NL","Newfoundland & Labrador",-52.75729861,47.509404452,"Urban"
"A1H","St. John's","NL","Newfoundland & Labrador",-52.81963949,47.494769734,"Urban"
"A1K","Torbay","NL","Newfoundland & Labrador",-52.43724571,47.689962205,"Urban"
"A1L","Paradise","NL","Newfoundland & Labrador",-52.8779904,47.53660839,"Urban"
"A1M","Portugal Cove-St Philips","NL","Newfoundland & Labrador",-52.85258686,47.602900217,"Urban"
"A1N","Mount Pearl","NL","Newfoundland & Labrador",-52.80910303,47.517016727,"Urban"
"A1S","Goulds","NL","Newfoundland & Labrador",-52.76856621,47.453558596,"Urban"
"A1V","Gander","NL","Newfoundland & Labrador",-54.61218086,48.962842686,"Urban"
"A1W","Conception Bay South","NL","Newfoundland & Labrador",-52.94319699,47.52162506,"Urban"
